source_id	category	title	organization	year	url	source_type	primary_use	access_status	local_path
MED-001	medical	ICH M11 Clinical electronic Structured Harmonised Protocol CeSHarP final guideline	ICH	2025	https://database.ich.org/sites/default/files/ICH_Step4_M11_Final_Guideline_2025_1119.pdf	regulatory_guideline	Structured protocol standard and Trial Fact Sheet rationale	public_pdf	references/inbox/medical/ICH_M11_Final_Guideline_2025.pdf
MED-002	medical	ICH M11 Clinical electronic Structured Harmonised Protocol CeSHarP final template	ICH	2025	https://database.ich.org/sites/default/files/ICH_Step4_M11_Final_Template_2025_1119.pdf	template	Public protocol section structure and document unit mapping	public_pdf	references/inbox/medical/ICH_M11_Final_Template_2025.pdf
MED-003	medical	ICH M11 Explainer	ICH	2026	https://database.ich.org/sites/default/files/ICH%20M11%20Explainer_May2026.pdf	official_explainer	Concise official story for structured protocol deliverables	public_pdf	references/inbox/medical/ICH_M11_Explainer_2026.pdf
MED-004	medical	M11 Clinical Electronic Structured Harmonised Protocol	US FDA	2026	https://www.fda.gov/regulatory-information/search-fda-guidance-documents/m11-clinical-electronic-structured-harmonised-protocol	regulatory_page	US adoption page for ICH M11	public_html	references/inbox/medical/FDA_M11_CeSHarP.html
MED-005	medical	ICH M11 guideline clinical study protocol template and technical specifications scientific guideline	European Medicines Agency	2023	https://www.ema.europa.eu/en/ich-m11-guideline-clinical-study-protocol-template-technical-specifications-scientific-guideline	regulatory_page	EU regulatory context for harmonised protocol preparation	public_html	references/inbox/medical/EMA_ICH_M11_overview.html
MED-006	medical	SPIRIT 2013 Checklist recommended items to address in a clinical trial protocol and related documents	SPIRIT Group	2013	https://www.spirit-statement.org/wp-content/uploads/2013/01/SPIRIT-Checklist-download-8Jan13.pdf	checklist	Protocol completeness and amendment-tracking checklist	public_pdf	references/inbox/medical/SPIRIT_2013_Checklist.pdf
MED-007	medical	SPIRIT 2013 Statement defining standard protocol items for clinical trials	SPIRIT Group	2013	https://www.spirit-statement.org/wp-content/uploads/SPIRIT_2013_Statement_FR_final.pdf	guideline_statement	Protocol item taxonomy and schedule examples	public_pdf	references/inbox/medical/SPIRIT_2013_Statement.pdf
MED-008	medical	SPIRIT electronic protocol tool and resource SEPTRE overview	SPIRIT Group	2026	https://www.spirit-statement.org/	tool_reference	Existing protocol creation and management tool context	public_html	references/inbox/medical/SPIRIT_home_SEPTRE.html
MED-009	medical	SPIRIT-AI extension for clinical trial protocols involving AI interventions	BMJ and SPIRIT-AI Group	2020	https://pmc.ncbi.nlm.nih.gov/articles/PMC8212701/	guideline_extension	AI-related protocol items and AI trial documentation boundaries	public_html	references/inbox/medical/SPIRIT_AI_Extension_PMC.html
MED-010	medical	CONSORT 2010 Statement updated guidelines for reporting parallel group randomised trials	BMC Medicine	2010	https://link.springer.com/article/10.1186/1741-7015-8-18	guideline_statement	Trial reporting checklist and consistency principles	public_html	references/inbox/medical/CONSORT_2010_BMC.html
MED-011	medical	ClinicalTrials.gov Protocol Registration Data Element Definitions for Interventional and Observational Studies	ClinicalTrials.gov and NLM	2026	https://clinicaltrials.gov/policy/protocol-definitions	data_element_definitions	Structured vocabulary for endpoints arms eligibility and outcomes	public_html	references/inbox/medical/ClinicalTrialsGov_Protocol_Definitions.html
MED-012	medical	Clinical Trial Protocol Template	NIH-FDA	2021	https://www.fda.gov/media/152143/download	template	Public clinical trial protocol template	public_pdf	references/inbox/medical/NIH_FDA_Clinical_Trial_Protocol_Template.pdf
MED-013	medical	ICH E6(R3) Good Clinical Practice guideline	ICH	2025	https://database.ich.org/sites/default/files/ICH_E6%28R3%29_Step4_FinalGuideline_2025_0106.pdf	regulatory_guideline	Quality by design and human responsibility boundary	public_pdf	references/inbox/medical/ICH_E6_R3_Final_Guideline_2025.pdf
MED-014	medical	ICH E8(R1) General Considerations for Clinical Studies	ICH	2021	https://database.ich.org/sites/default/files/E8-R1_Guideline_Step4_2021_1006.pdf	regulatory_guideline	Quality by design and critical-to-quality factors	public_pdf	references/inbox/medical/ICH_E8_R1_2021.pdf
MED-015	medical	ICH E9 Statistical Principles for Clinical Trials	ICH	1998	https://database.ich.org/sites/default/files/E9_Guideline.pdf	regulatory_guideline	Statistical constraints and analysis-plan consistency	public_pdf	references/inbox/medical/ICH_E9_Statistical_Principles.pdf
MED-016	medical	ICH E9(R1) Addendum on Estimands and Sensitivity Analysis	ICH	2019	https://database.ich.org/sites/default/files/E9-R1_Step4_Guideline_2019_1203.pdf	regulatory_guideline	Endpoint estimand language and semantic consistency	public_pdf	references/inbox/medical/ICH_E9_R1_Estimands.pdf
MED-017	medical	When and how can endpoints be changed after initiation of a randomized clinical trial	PLoS Clinical Trials via PMC	2007	https://pmc.ncbi.nlm.nih.gov/articles/PMC1852589/	research_article	Endpoint change risk and downstream update reasoning	public_html	references/inbox/medical/Endpoint_Changes_PMC.html
MED-018	medical	Common Clinical Trial Amendments why they are submitted and why they are not	PMC	2022	https://pmc.ncbi.nlm.nih.gov/articles/PMC9811046/	research_article	Protocol amendment taxonomy and operational burden	public_html	references/inbox/medical/Common_Clinical_Trial_Amendments_PMC.html
MED-019	medical	The Impact of Protocol Amendments on Clinical Trial Performance and Cost	PubMed	2016	https://pubmed.ncbi.nlm.nih.gov/30227022/	research_metadata	Quantitative amendment cost and performance evidence	metadata_only	references/inbox/medical/Protocol_Amendments_PubMed.html
MED-020	medical	The Impact of Protocol Amendments on Clinical Trial Performance and Cost	SAGE Journals	2016	https://journals.sagepub.com/doi/10.1177/2168479016632271	research_metadata	Publisher landing page for amendment cost evidence	metadata_only	references/inbox/medical/Protocol_Amendments_SAGE.html
MED-021	medical	New Benchmarks on Protocol Amendment Practices Trends and their Impact on Clinical Trial Performance	PubMed	2024	https://pubmed.ncbi.nlm.nih.gov/38438658/	research_metadata	Updated amendment trend benchmark metadata	metadata_only	references/inbox/medical/New_Benchmarks_Protocol_Amendments_PubMed.html
MED-022	medical	Development of a protocol complexity tool a framework designed to simplify clinical trials	PMC	2025	https://pmc.ncbi.nlm.nih.gov/articles/PMC12395810/	research_article	Protocol complexity measurement and simplification framing	public_html	references/inbox/medical/Protocol_Complexity_Tool_PMC.html
MED-023	medical	ICH Guidance Documents	US FDA	2026	https://www.fda.gov/science-research/clinical-trials-and-human-subject-protection/ich-guidance-documents	regulatory_index	Official FDA index for ICH guidance cross-checking	public_html	references/inbox/medical/FDA_ICH_Guidance_Index.html
BUS-001	business	Veeva Clinical Operations	Veeva Systems	2026	https://www.veeva.com/products/clinical-operations/	product_page	Unified clinical operations competitor context	public_html	references/inbox/business/Veeva_Clinical_Operations.html
BUS-002	business	Veeva Clinical Platform	Veeva Systems	2026	https://www.veeva.com/products/veeva-clinical-platform/	product_page	Platform-level competitor context	public_html	references/inbox/business/Veeva_Clinical_Platform.html
BUS-003	business	Veeva Disclosures Creating Registrations and Protocols	Veeva Vault Help	2025	https://clinical.veevavault.help/en/lr/899718/	product_documentation	Protocol and registration record handling comparison	public_html	references/inbox/business/Veeva_Registrations_Protocols_Help.html
BUS-004	business	Oracle Clinical One overview solution brief	Oracle	2021	https://www.oracle.com/a/ocom/docs/industries/life-sciences/clinical-one-overview-solution-brief.pdf	product_sheet	Unified eClinical platform competitor evidence	public_pdf	references/inbox/business/Oracle_Clinical_One_Overview.pdf
BUS-005	business	Oracle Clinical Trial Data Collection	Oracle	2026	https://www.oracle.com/ae/life-sciences/clinical-trial-data-collection/	product_page	Protocol change and trial setup platform context	public_html	references/inbox/business/Oracle_Clinical_Trial_Data_Collection.html
BUS-006	business	Applying Protocol Amendments to Sites and Clinical Subjects	Oracle Documentation	2026	https://docs.oracle.com/cd/G26828_01/books/CTMS/c-Applying-Protocol-Amendments-to-Sites-and-Clinical-Subjects--ad1003746.html	product_documentation	Concrete downstream objects affected by protocol amendment	public_html	references/inbox/business/Oracle_Applying_Protocol_Amendments.html
BUS-007	business	Medidata AI	Medidata	2026	https://www.medidata.com/en/clinical-trial-products/medidata-ai/	product_page	AI across clinical trial lifecycle competitor context	public_html	references/inbox/business/Medidata_AI.html
BUS-008	business	Medidata Clinical Data Studio	Medidata	2026	https://www.medidata.com/en/data-experience/clinical-data-studio/	product_page	AI-assisted clinical data review adjacent competitor	public_html	references/inbox/business/Medidata_Clinical_Data_Studio.html
BUS-009	business	AI in Clinical Study Builds redefining EDC efficiency	Medidata	2025	https://www.medidata.com/en/life-science-resources/medidata-blog/ai-study-build/	blog_product	Turning static protocol documents into dynamic collection structures	public_html	references/inbox/business/Medidata_AI_Study_Build.html
BUS-010	business	Clinical Data Studio press release	Medidata and Dassault Systemes	2024	https://www.3ds.com/newsroom/press-releases/medidata-launches-clinical-data-studio-leveraging-ai-modernize-data-experience-clinical-trials	press_release	Vendor claim for AI data review and reconciliation	public_html	references/inbox/business/Medidata_Clinical_Data_Studio_PR.html
BUS-011	business	Kitsa AI-powered clinical trial documentation	Kitsa	2026	https://kitsa.ai/resources/ai-powered-documentation	product_page	Direct AI protocol and regulatory writing competitor	public_html	references/inbox/business/Kitsa_AI_Documentation.html
BUS-012	business	Kitsa Tech Mahindra agentic AI medical writing partnership	Tech Mahindra and Kitsa	2026	https://www.techmahindra.com/insights/news/kitsa-and-tech-mahindra-collaborate-for-next-gen-pharma-solutions/	press_release	Agentic AI medical writing market signal	public_html	references/inbox/business/Kitsa_TechMahindra_Partnership.html
BUS-013	business	Clinical Trial Protocol Optimization with Generative AI	Clinion	2025	https://www.clinion.com/insight/simplifying-clinical-trial-protocol-with-genai/	vendor_blog	Vendor framing of generative AI protocol optimization	public_html	references/inbox/business/Clinion_GenAI_Protocol.html
BUS-014	business	Kitsa Blog Index	Kitsa	2026	https://kitsa.ai/blog	blog_index	Competitor vocabulary around clinical trial documentation	public_html	references/inbox/business/Kitsa_Blog_Index.html
BUS-015	business	Medical Writing Automatic Clinical Protocol Generation	CARA Life Sciences	2026	https://www.caralifesciences.generiscorp.com/clinical-solutions/medical-writing-automatic-clinical-protocol-generation/	product_page	Component authoring and protocol generation comparator	public_html	references/inbox/business/CARA_Automatic_Protocol_Generation.html
BUS-016	business	TrialAssure clinical data transparency software leader	TrialAssure	2026	https://trialassure.com/	product_page	Clinical transparency and disclosure adjacent competitor	public_html	references/inbox/business/TrialAssure_Home.html
BUS-017	business	TrialAssure ANONYMIZE data anonymization transparency software	TrialAssure	2026	https://trialassure.com/software/anonymize/	product_page	Privacy and anonymization adjacent product	public_html	references/inbox/business/TrialAssure_Anonymize.html
BUS-018	business	Narrativa Clinical Atlas protocol clinical trials automation with AI agents	Narrativa	2026	https://www.narrativa.com/protocol-clinical-trials-automation-with-ai-agents/	product_blog	Protocol automation with specialized AI agents market signal	public_html	references/inbox/business/Narrativa_Protocol_AI_Agents.html
BUS-019	business	Paperguide Clinical Trial Design and Protocol Writing	Paperguide	2026	https://paperguide.ai/solutions/clinical-trails/	product_page	Research-backed protocol writing competitor	public_html	references/inbox/business/Paperguide_Clinical_Trials.html
BUS-020	business	Clinical Trials Protocol Authoring using LLMs	arXiv	2024	https://arxiv.org/abs/2404.05044	research_preprint	LLM-assisted protocol authoring technical baseline	public_html	references/inbox/business/Clinical_Trials_Protocol_Authoring_LLMs_arXiv.html
GOV-001	ai_governance	Reflection paper on the use of artificial intelligence in the medicinal product lifecycle	European Medicines Agency	2024	https://www.ema.europa.eu/en/documents/scientific-guideline/reflection-paper-use-artificial-intelligence-ai-medicinal-product-lifecycle_en.pdf	regulatory_reflection	AI governance and human oversight for medicinal product lifecycle	public_pdf	references/inbox/ai_governance/EMA_AI_Medicinal_Product_Lifecycle_Reflection.pdf
GOV-002	ai_governance	Considerations for the Use of Artificial Intelligence to Support Regulatory Decision-Making for Drug and Biological Products	US FDA	2025	https://www.fda.gov/regulatory-information/search-fda-guidance-documents/considerations-use-artificial-intelligence-support-regulatory-decision-making-drug-and-biological	guidance_page	AI credibility and regulatory decision-support risk framing	public_html	references/inbox/ai_governance/FDA_AI_Regulatory_Decision_Making.html
GOV-003	ai_governance	Ethics and governance of artificial intelligence for health	World Health Organization	2021	https://www.who.int/publications/i/item/9789240029200	governance_report	Health AI ethics privacy accountability and human oversight	public_html	references/inbox/ai_governance/WHO_AI_Health_Ethics.html
GOV-004	ai_governance	Artificial Intelligence for Drug Development	US FDA	2026	https://www.fda.gov/about-fda/center-drug-evaluation-and-research-cder/artificial-intelligence-drug-development	regulatory_page	FDA resource hub for AI in drug development	public_html	references/inbox/ai_governance/FDA_AI_Drug_Development_Resource.html
GOV-005	ai_governance	Good Machine Learning Practice for Medical Device Development Guiding Principles	FDA Health Canada MHRA	2021	https://www.fda.gov/medical-devices/software-medical-device-samd/good-machine-learning-practice-medical-device-development-guiding-principles	guiding_principles	AI lifecycle and quality principles as analogy not direct drug-document rule	public_html	references/inbox/ai_governance/FDA_GMLP_Guiding_Principles.html
STD-001	standards	Clinical Content and Reuse Assets Clinical Studies	TransCelerate BioPharma	2026	https://www.transceleratebiopharmainc.com/assets/clinical-content-reuse-solutions/	template_suite	Common Protocol Template SAP and CSR template ecosystem	public_html	references/inbox/medical/TransCelerate_Clinical_Content_Reuse_Assets.html
STD-002	standards	Clinical Content and Reuse	TransCelerate BioPharma	2026	https://www.transceleratebiopharmainc.com/initiatives/clinical-content-reuse/	initiative_page	Harmonized model content across protocol SAP and CSR	public_html	references/inbox/medical/TransCelerate_Clinical_Content_Reuse.html
STD-003	standards	Common Protocol Template Now Available	TransCelerate BioPharma	2016	https://www.transceleratebiopharmainc.com/news-center/common-protocol-template-now-available/	news_page	History and availability of Common Protocol Template resources	public_html	references/inbox/medical/TransCelerate_CPT_Now_Available.html
STD-004	standards	CPT 101 An Introduction to the Common Protocol Template	TransCelerate BioPharma	2018	https://www.transceleratebiopharmainc.com/events/cpt-101-introduction-common-protocol-template-3/	event_page	Simple description of CPT as harmonized protocol format and content	public_html	references/inbox/medical/TransCelerate_CPT_101.html
STD-005	standards	PRM Protocol Representation Model	CDISC	2026	https://www.cdisc.org/standards/foundational/protocol	standard_page	Standard for machine-readable protocol representation	public_html	references/inbox/medical/CDISC_PRM.html
STD-006	standards	CDISC PRM Toolset v1	CDISC	2026	https://www.cdisc.org/cdisc-prm-toolset-v1.0	toolset_page	Public toolset for protocol representation model	public_html	references/inbox/medical/CDISC_PRM_Toolset_v1.html
STD-007	standards	Trial Master File Standard	CDISC	2026	https://www.cdisc.org/tmf	standard_page	Standardized TMF structure and terminology for audit-ready trial documents	public_html	references/inbox/medical/CDISC_TMF_Standard.html
STD-008	standards	Trial Master File Reference Model	CDISC	2026	https://www.cdisc.org/standards/trial-master-file-reference-model	standard_page	TMF taxonomy and metadata source for document dependency and audit context	public_html	references/inbox/medical/CDISC_TMF_Reference_Model.html
STD-009	standards	Protocol Templates for Clinical Trials	NIH	2024	https://grants.nih.gov/policy-and-compliance/policy-topics/clinical-trials/protocol-template	template_page	Public NIH page for clinical trial protocol templates and e-protocol tool	public_html	references/inbox/medical/NIH_Protocol_Templates.html
STD-010	standards	Protocol Templates	University of Wisconsin IRB	2026	https://irb.wisc.edu/manual/investigator-manual/irb-review-requirements-and-application-types/human-research-requiring-a-protocol/protocol-templates/	template_page	Public list of protocol templates including NIH and NCI references	public_html	references/inbox/medical/Wisconsin_IRB_Protocol_Templates.html
STD-011	standards	Diversity Inclusion and Equity Overlay for TransCelerate Common Protocol Template	MRCT Center	2022	https://mrctcenter.org/resource/diversity-inclusion-and-equity-in-clinical-research-diversity-inclusion-overlay-transcelerates-common-protocol-template/	template_overlay	Shows how protocol templates can be extended by domain-specific overlays	public_html	references/inbox/medical/MRCT_Diversity_Overlay_CPT.html
STD-012	standards	Developing generic templates to shape the future for conducting platform trials	PMC	2024	https://pmc.ncbi.nlm.nih.gov/articles/PMC10956223/	research_article	Public evidence for template standardization and platform-trial template design	public_html	references/inbox/medical/Platform_Trial_Generic_Templates_PMC.html
BUS-021	business	CoAuthor Life Science GenAI Software for Medical Writing	Certara	2026	https://www.certara.com/coauthor/	product_page	Direct regulatory and medical writing GenAI competitor	public_html	references/inbox/business/Certara_CoAuthor.html
BUS-022	business	Certara Launches CoAuthor a Regulatory and Medical Writing Tool	Certara	2023	https://www.certara.com/announcement/certara-launches-coauthor-a-regulatory-and-medical-writing-tool/	press_release	Launch source for CoAuthor positioning in clinical trial documents	public_html	references/inbox/business/Certara_CoAuthor_Launch.html
BUS-023	business	CoAuthor Factsheet	Certara	2026	https://www.certara.com/fact-sheet/coauthor/	fact_sheet	Structured content authoring and Microsoft Word integration competitor evidence	public_html	references/inbox/business/Certara_CoAuthor_Factsheet.html
BUS-024	business	Medical Writing Automation	Yseop	2026	https://yseop.com/medical-writing-automation/	product_page	Medical writing automation competitor focused on reports and narratives	public_html	references/inbox/business/Yseop_Medical_Writing_Automation.html
BUS-025	business	Clinical Document Automation	Yseop	2026	https://yseop.com/solutions/life-sciences/clinical/	product_page	AI-based NLG clinical document automation competitor	public_html	references/inbox/business/Yseop_Clinical_Document_Automation.html
BUS-026	business	Welcome to Yseop Copilot	Yseop	2026	https://yseop.com/automate-medical-regulatory-authoringworkflows/	product_page	Regulatory authoring workflow automation and Word/Veeva integration evidence	public_html	references/inbox/business/Yseop_Copilot.html
BUS-027	business	eTMF Features Built for a Better Clinical Trial	Montrium	2026	https://www.montrium.com/etmf-connect-features	product_page	Document management and artifact linking competitor context	public_html	references/inbox/business/Montrium_eTMF_Connect_Features.html
BUS-028	business	Montrium clinical operations platform	Montrium	2026	https://www.montrium.com/	product_page	Cloud eTMF eQMS and RIM platform competitor evidence	public_html	references/inbox/business/Montrium_Home.html
BUS-029	business	eTMF Systems	MasterControl	2026	https://www.mastercontrol.com/au/clinical/etmf-software-systems/	product_page	eTMF and clinical document management competitor context	public_html	references/inbox/business/MasterControl_eTMF_Systems.html
BUS-030	business	MasterControl eTMF Manager	MasterControl	2026	https://www.mastercontrol.com/resource-center/documents/mastercontrol-etmf-manager/	product_page	Document control change control audit and risk management competitor context	public_html	references/inbox/business/MasterControl_eTMF_Manager.html
CN-001	china_regulatory	药物临床试验质量管理规范 2020	NMPA and National Health Commission	2020	https://www.nmpa.gov.cn/xxgk/fgwj/xzhgfxwj/20200426162401243.html	regulatory_page	Chinese GCP baseline for clinical trial quality and protocol governance	public_html	references/inbox/medical/NMPA_GCP_2020.html
CN-002	china_regulatory	药物临床试验质量管理规范 2026年修订	NMPA and NHC and NATCM and NCDC	2026	https://www.nmpa.gov.cn/xxgk/fgwj/xzhgfxwj/20260608103856150.html	regulatory_page	Latest public Chinese GCP revision and quality responsibility context	public_html	references/inbox/medical/NMPA_GCP_2026.html
CN-003	china_regulatory	药物临床试验数据管理与统计分析计划指导原则	CDE	2021	https://www.cde.org.cn/main/att/download/7da62eab6c2d93cb350048a1f507d348	guidance_pdf	Chinese source for data management plan and SAP structure after protocol confirmation	public_html	references/inbox/medical/CDE_Data_Management_Statistical_Analysis_Plan_2021.html
CN-004	china_regulatory	药物临床试验期间方案变更技术指导原则试行	CDE	2022	https://pharmwyp.com/posts/56814/3.%E4%B8%B4%E5%BA%8A%E8%AF%95%E9%AA%8C%E5%AE%9E%E6%96%BD/3.4%E8%AF%95%E9%AA%8C%E7%AC%A6%E5%90%88%E6%80%A7/20220623_CDE_%E5%85%B3%E4%BA%8E%E5%8F%91%E5%B8%83%E3%80%8A%E8%8D%AF%E7%89%A9%E4%B8%B4%E5%BA%8A%E8%AF%95%E9%AA%8C%E6%9C%9F%E9%97%B4%E6%96%B9%E6%A1%88%E5%8F%98%E6%9B%B4%E6%8A%80%E6%9C%AF%E6%8C%87%E5%AF%BC%E5%8E%9F%E5%88%99%EF%BC%88%E8%AF%95%E8%A1%8C%EF%BC%89%E3%80%8B%E7%9A%84%E9%80%9A%E5%91%8A%EF%BC%882022%E5%B9%B4%E7%AC%AC34%E5%8F%B7%EF%BC%89.pdf	guidance_pdf	Chinese source for protocol amendment scenarios and assessment points	public_pdf	references/inbox/medical/CDE_Protocol_Amendment_Guidance_2022.pdf
CN-005	china_regulatory	CDE发布药物临床试验期间方案变更技术指导原则试行	中国食品药品网	2022	https://m.cnpharm.com/c/2022-06-23/829152.shtml	news_reprint	CDE announcement text and access path for protocol amendment guidance	public_html	references/inbox/medical/CNPharm_CDE_Protocol_Amendment_Announcement.html
CN-006	china_regulatory	CDE发布药物临床试验数据管理与统计分析计划指导原则	中国食品药品网	2022	https://m.cnpharm.com/c/2022-01-04/814382.shtml	news_reprint	CDE announcement text and access path for data management and SAP guidance	public_html	references/inbox/medical/CNPharm_CDE_DM_SAP_Announcement.html
FS-001	feishu	欢迎使用飞书Aily	Feishu Aily	2026	https://aily.feishu.cn/hc/1u7kleqg/4q7o7as7	product_manual	Feishu Aily as enterprise agent platform and deployment interface	public_html	references/inbox/business/Feishu_Aily_Welcome.html
FS-002	feishu	Get started with Feishu Aily	Feishu	2026	https://www.feishu.cn/hc/en-US/articles/790732948604-get-started-with-feishu-aily	product_manual	English Feishu Aily feature overview for competition integration	public_html	references/inbox/business/Feishu_Aily_Get_Started_EN.html
FS-003	feishu	快速了解飞书Aily	Feishu	2026	https://www.feishu.cn/hc/zh-CN/articles/790732948604-%E5%BF%AB%E9%80%9F%E4%BA%86%E8%A7%A3%E9%A3%9E%E4%B9%A6-aily	product_manual	Chinese Feishu Aily overview and custom agent capability	public_html	references/inbox/business/Feishu_Aily_Quick_Start_ZH.html
FS-004	feishu	Use the AI Agent node in Workflow	Feishu	2026	https://www.feishu.cn/hc/en-US/articles/643175485940-use-the-ai-agent-node-in-workflow	workflow_manual	Workflow AI Agent node as orchestration interface	public_html	references/inbox/business/Feishu_AI_Agent_Node_Workflow.html
FS-005	feishu	企业级智能体开发平台定制你的AI专属工作助手	Feishu	2026	https://www.feishu.cn/content/3d5z9ttt	product_page	Official positioning for Aily skills knowledge data processing and enterprise integration	public_html	references/inbox/business/Feishu_Aily_Enterprise_Agent_Platform.html
FS-006	feishu	飞书智能伙伴平台Aily的对话模式	Feishu	2026	https://www.feishu.cn/content/kdvbmrpn	product_manual	Defines reasoning workflow knowledge QA and hybrid scheduling modes	public_html	references/inbox/business/Feishu_Aily_Conversation_Modes.html
FS-007	feishu	Use AI-generated text in Workflow and Automations	Feishu	2026	https://www.feishu.cn/hc/en-US/articles/902812682257-use-ai-generated-text-in-workflow-and-automations	workflow_manual	Feishu workflow text generation and automation interface evidence	public_html	references/inbox/business/Feishu_AI_Generated_Text_Workflow.html
FS-008	feishu	飞书知识库 AI赋能的企业级结构化知识管理工具	Feishu	2026	https://www.feishu.cn/product/wiki	product_page	Feishu knowledge base as structured enterprise knowledge layer	public_html	references/inbox/business/Feishu_Wiki_Knowledge_Base.html
FS-009	feishu	Use AI to build workflows in Base	Feishu	2026	https://www.feishu.cn/hc/en-US/articles/317606642838-use-ai-to-build-workflows-in-base	workflow_manual	Base workflow generation by AI for low-code orchestration story	public_html	references/inbox/business/Feishu_Base_AI_Workflow.html
FS-010	feishu	Overview of Feishu AI plans and AI quota usage rules	Feishu	2026	https://www.feishu.cn/hc/en-US/articles/629644238181-overview-of-feishu-ai-plans-and-ai-quota-usage-rules	product_manual	Quota and plan constraints for deployment discussion	public_html	references/inbox/business/Feishu_AI_Plans_Quota.html
BUR-001	burden	Multidisciplinary Approach to Protocol Writing	Applied Clinical Trials	2026	https://www.appliedclinicaltrialsonline.com/view/multidisciplinary-approach-protocol-writing	industry_article	Public statement on protocol-writing process and approximate writing duration	public_html	references/inbox/business/AppliedClinicalTrials_Multidisciplinary_Protocol_Writing.html
BUR-002	burden	Controlling complexity for regulator-ready protocol	ICON plc	2025	https://www.iconplc.com/insights/blog/2025/04/09/controlling-complexity-regulator-ready-protocol	industry_article	Protocol complexity and amendment cost narrative with Tufts CSDD references	public_html	references/inbox/business/ICON_Regulator_Ready_Protocol_Complexity.html
BUR-003	burden	Shining a Light on the Inefficiencies in Amendment Implementation	Applied Clinical Trials	2026	https://www.appliedclinicaltrialsonline.com/view/shining-a-light-on-the-inefficiencies-in-amendment-implementation	industry_article	Amendment implementation delays and cross-functional burden context	public_html	references/inbox/business/AppliedClinicalTrials_Amendment_Inefficiencies.html
